home_score,away_score,sport,cv
13,10,football,train
20,34,football,test
45,27,football,train
21,34,football,train
7,24,football,train
14,12,football,train
7,12,football,train
10,38,football,train
38,24,football,train
19,7,football,train
16,20,football,train
28,0,football,test
23,17,football,test
21,15,football,test
25,24,football,train
20,24,football,train
28,20,football,test
13,27,football,train
9,7,football,test
31,34,football,train
22,48,football,train
16,9,football,test
10,13,football,train
17,31,football,train
24,31,football,train
23,10,football,test
33,20,football,train
26,31,football,train
27,6,football,test
17,14,football,train
31,33,football,test
23,27,football,train
34,3,football,test
24,17,football,train
19,14,football,train
24,31,football,test
27,24,football,train
26,10,football,test
0,24,football,train
34,14,football,test
17,36,football,train
7,27,football,train
19,25,football,train
23,20,football,train
23,13,football,train
3,23,football,train
10,31,football,train
21,7,football,train
48,24,football,train
20,23,football,train
29,6,football,train
34,17,football,train
37,17,football,train
16,27,football,train
27,21,football,train
16,13,football,train
38,10,football,test
24,10,football,train
17,10,football,train
35,0,football,train
38,28,football,test
30,23,football,test
10,38,football,train
33,14,football,test
20,26,football,train
20,28,football,train
20,17,football,train
3,6,football,train
44,7,football,train
14,17,football,test
10,45,football,train
41,0,football,train
20,17,football,train
28,21,football,test
9,31,football,test
31,27,football,test
17,28,football,train
26,0,football,test
23,20,football,test
33,31,football,train
48,27,football,train
27,14,football,train
21,28,football,train
6,14,football,test
13,9,football,train
3,27,football,train
59,0,football,train
13,16,football,train
21,14,football,train
23,34,football,train
7,35,football,test
6,42,football,train
27,17,football,train
7,37,football,train
24,21,football,train
3,31,football,train
0,38,football,train
9,20,football,train
34,46,football,train
37,21,football,train
45,10,football,test
17,24,football,test
17,27,football,train
30,7,football,train
10,31,football,train
30,6,football,train
38,17,football,train
10,17,football,train
18,14,football,train
40,17,football,test
25,30,football,train
24,16,football,train
30,13,football,train
21,34,football,test
26,38,football,train
35,27,football,test
31,17,football,train
21,41,football,test
17,7,football,train
20,17,football,train
24,21,football,train
27,17,football,train
38,28,football,train
30,20,football,test
32,20,football,train
20,21,football,train
27,34,football,train
16,20,football,train
10,28,football,test
10,6,football,train
28,19,football,train
27,17,football,train
41,17,football,train
23,28,football,train
12,18,football,train
22,24,football,train
25,23,football,train
27,10,football,train
10,16,football,train
17,7,football,test
31,20,football,train
31,23,football,train
35,34,football,train
0,16,football,train
17,24,football,train
15,17,football,test
7,38,football,train
34,31,football,train
35,9,football,train
27,24,football,train
18,15,football,train
7,6,football,train
38,37,football,train
30,24,football,test
13,21,football,train
3,32,football,train
20,17,football,train
31,14,football,train
20,24,football,train
17,20,football,train
12,34,football,train
24,7,football,train
26,6,football,train
31,14,football,test
20,17,football,train
16,7,football,test
17,27,football,test
27,35,football,train
17,6,football,train
27,24,football,test
20,3,football,train
43,14,football,train
20,17,football,train
36,10,football,train
20,17,football,train
38,17,football,train
13,19,football,train
7,34,football,train
22,21,football,test
30,33,football,test
24,27,football,train
13,44,football,train
16,6,football,train
17,9,football,train
23,13,football,test
27,17,football,train
23,18,football,train
23,30,football,train
20,17,football,train
31,24,football,train
30,17,football,test
27,14,football,train
13,6,football,test
34,7,football,test
10,16,football,train
30,10,football,train
20,10,football,train
3,26,football,train
28,16,football,train
10,14,football,train
14,21,football,train
48,3,football,train
23,26,football,test
47,7,football,train
13,34,football,train
17,20,football,train
38,45,football,train
24,9,football,train
31,35,football,test
17,24,football,train
13,16,football,train
34,41,football,train
7,10,football,train
10,17,football,train
27,24,football,train
24,31,football,train
19,20,football,test
27,24,football,train
37,36,football,test
31,7,football,test
27,13,football,train
7,24,football,train
26,7,football,train
12,45,football,train
17,42,football,train
31,3,football,test
23,20,football,test
17,20,football,train
35,7,football,test
9,41,football,test
20,27,football,test
17,10,football,train
23,9,football,train
48,10,football,train
31,10,football,train
20,6,football,train
30,27,football,train
15,29,football,train
0,17,football,train
36,30,football,train
30,7,football,train
23,10,football,train
10,20,football,train
6,28,football,train
44,7,football,test
24,30,football,train
34,27,football,test
23,37,football,test
23,17,football,train
24,44,football,train
7,33,football,train
23,20,football,train
13,21,football,test
24,0,football,train
13,17,football,train
37,0,football,train
14,24,football,train
34,14,football,train
14,33,football,train
51,45,football,train
45,14,football,train
20,3,football,train
34,3,football,train
14,17,football,test
30,17,football,train
31,28,football,train
41,34,football,train
17,31,football,test
14,9,football,train
17,14,football,train
15,9,football,test
19,14,football,train
31,18,football,train
38,13,football,train
24,17,football,test
10,15,football,test
38,24,football,train
34,24,football,test
20,27,football,train
13,17,football,train
31,6,football,test
13,7,football,test
9,10,football,train
21,14,football,train
34,7,football,train
15,10,football,train
7,20,football,test
41,7,football,train
32,35,football,test
20,27,football,train
11,19,football,train
10,14,football,train
14,16,football,test
16,14,football,test
31,14,football,train
28,14,football,test
38,13,football,train
27,30,football,train
38,14,football,train
22,25,football,train
10,29,football,train
7,20,football,test
13,38,football,train
38,30,football,train
13,27,football,train
24,10,football,train
24,27,football,test
31,10,football,train
24,17,football,train
30,16,football,train
3,28,football,train
13,27,football,test
24,23,football,train
27,20,football,train
23,31,football,train
20,17,football,train
14,38,football,train
23,20,football,test
14,17,football,train
20,26,football,test
28,26,football,train
16,14,football,train
16,14,football,train
20,3,football,train
31,28,football,test
24,31,football,train
12,17,football,train
41,10,football,train
17,3,football,test
14,41,football,train
26,36,football,train
31,17,football,test
19,9,football,train
16,13,football,train
44,6,football,train
6,23,football,train
21,24,football,test
10,34,football,train
10,20,football,train
30,20,football,train
27,34,football,test
35,27,football,test
24,27,football,train
29,20,football,train
20,23,football,train
20,17,football,test
23,20,football,train
28,10,football,train
35,31,football,train
28,20,football,train
31,17,football,test
6,31,football,train
20,23,football,train
20,24,football,train
17,9,football,train
24,21,football,train
24,27,football,train
3,30,football,train
39,32,football,train
22,23,football,test
37,34,football,train
42,20,football,test
17,30,football,train
14,17,football,train
23,20,football,train
37,19,football,train
18,17,football,train
22,10,football,test
20,23,football,test
14,59,football,train
28,24,football,train
35,41,football,train
24,16,football,test
17,35,football,train
14,22,football,train
13,10,football,test
37,25,football,train
20,10,football,train
0,9,football,train
33,25,football,train
28,18,football,train
35,38,football,train
33,3,football,train
20,10,football,test
30,17,football,train
20,23,football,test
26,10,football,train
34,14,football,train
23,29,football,train
19,22,football,test
27,24,football,train
27,21,football,train
3,34,football,train
7,41,football,train
26,24,football,train
23,20,football,train
45,7,football,train
21,27,football,train
26,21,football,train
14,12,football,train
31,16,football,train
31,24,football,test
23,17,football,train
20,26,football,test
29,17,football,train
27,13,football,test
49,29,football,train
23,20,football,train
18,36,football,train
20,33,football,train
26,39,football,train
28,59,football,train
0,16,football,train
13,37,football,test
31,13,football,test
16,19,football,test
3,31,football,train
35,19,football,train
24,20,football,train
30,27,football,train
31,49,football,test
35,3,football,train
17,34,football,train
34,19,football,train
0,21,football,train
31,28,football,train
27,17,football,train
35,14,football,test
24,45,football,train
27,30,football,train
26,10,football,train
13,17,football,train
24,23,football,train
16,19,football,train
24,20,football,train
20,0,football,train
20,17,football,train
24,42,football,train
17,33,football,train
17,10,football,train
31,26,football,train
33,36,football,train
14,36,football,train
6,27,football,train
34,24,football,train
38,14,football,train
30,34,football,train
34,16,football,train
20,24,football,train
31,7,football,train
10,6,football,test
6,17,football,train
10,13,football,train
13,28,football,train
31,14,football,test
6,19,football,test
35,38,football,test
24,28,football,train
10,13,football,train
45,3,football,train
28,30,football,train
38,31,football,train
10,31,football,train
13,6,football,test
23,7,football,train
16,17,football,train
7,3,football,train
31,13,football,test
40,21,football,test
7,36,football,train
31,0,football,train
43,13,football,train
6,10,football,train
27,30,football,train
3,21,football,test
28,34,football,train
34,7,football,train
13,27,football,train
30,24,football,test
20,23,football,train
19,12,football,train
31,38,football,train
14,17,football,train
19,17,football,train
34,24,football,train
31,17,football,test
33,30,football,train
18,34,football,train
39,23,football,train
17,22,football,train
31,27,football,test
14,40,football,train
27,3,football,test
27,26,football,test
10,20,football,train
34,14,football,train
3,34,football,train
38,34,football,train
25,17,football,train
17,20,football,test
27,34,football,train
24,23,football,train
26,31,football,train
34,20,football,train
45,17,football,train
38,15,football,test
14,17,football,train
14,24,football,train
31,10,football,train
9,41,football,train
20,13,football,train
13,7,football,train
38,7,football,test
38,7,football,train
10,31,football,train
13,23,football,train
10,3,football,train
14,17,football,train
23,20,football,test
34,17,football,train
13,14,football,train
28,33,football,train
38,7,football,train
16,6,football,train
41,36,football,train
16,17,football,train
7,30,football,train
16,21,football,train
31,24,football,train
21,48,football,test
35,24,football,test
21,28,football,train
14,21,football,test
24,19,football,train
55,41,football,train
31,25,football,train
42,34,football,test
35,7,football,train
13,31,football,train
20,27,football,train
30,12,football,test
7,41,football,train
16,14,football,train
34,7,football,train
17,27,football,train
24,17,football,train
33,17,football,train
28,21,football,test
28,14,football,train
27,24,football,train
24,38,football,test
20,23,football,test
48,3,football,train
38,35,football,train
24,0,football,train
30,13,football,train
23,30,football,train
20,24,football,test
22,21,football,train
26,13,football,train
32,3,football,train
19,27,football,train
24,27,football,test
35,21,football,train
13,23,football,train
24,22,football,train
35,31,football,train
28,16,football,test
16,10,football,train
40,33,football,test
8,13,football,train
23,26,football,train
16,29,football,test
17,14,football,train
17,16,football,train
34,31,football,train
34,24,football,train
7,37,football,train
20,17,football,train
16,13,football,train
13,10,football,train
17,27,football,train
20,23,football,train
18,16,football,train
23,20,football,test
13,31,football,train
22,17,football,train
10,23,football,test
10,17,football,train
34,29,football,test
23,24,football,test
30,34,football,train
17,10,football,test
28,30,football,train
27,31,football,train
26,16,football,test
19,31,football,train
49,23,football,test
34,17,football,train
24,17,football,train
38,17,football,test
20,25,football,test
24,28,football,train
20,30,football,train
25,36,football,train
34,10,football,train
27,30,football,test
31,24,football,test
48,3,football,train
30,21,football,train
24,29,football,train
14,25,football,train
24,13,football,train
27,24,football,train
27,17,football,train
17,13,football,train
13,20,football,train
19,25,football,train
24,3,football,test
31,17,football,train
24,17,football,train
29,14,football,train
26,20,football,train
20,16,football,train
39,10,football,train
24,6,football,test
15,18,football,train
27,21,football,test
7,41,football,train
16,23,football,train
33,20,football,train
18,24,football,train
6,3,football,test
20,32,football,test
0,28,football,train
27,33,football,test
34,7,football,test
62,7,football,test
12,7,football,train
20,17,football,test
24,14,football,train
27,10,football,train
21,24,football,train
31,21,football,train
30,27,football,train
10,45,football,test
23,0,football,test
25,17,football,train
20,10,football,train
12,34,football,train
34,7,football,test
23,20,football,train
11,27,football,test
30,12,football,train
3,31,football,test
23,13,football,test
11,19,football,train
27,16,football,train
7,31,football,train
24,38,football,test
17,24,football,train
20,24,football,train
38,45,football,train
19,13,football,train
20,23,football,train
24,30,football,train
17,24,football,train
44,7,football,test
12,13,football,train
20,9,football,train
23,26,football,test
17,21,football,test
3,30,football,train
9,37,football,train
17,24,football,test
3,17,football,train
10,17,football,test
22,17,football,train
37,13,football,train
27,20,football,test
16,37,football,train
45,7,football,train
17,13,football,train
21,27,football,train
24,27,football,train
35,26,football,train
49,35,football,train
31,24,football,train
14,10,football,train
35,8,football,train
7,24,football,test
23,7,football,train
31,20,football,train
23,17,football,train
10,17,football,train
34,3,football,train
15,27,football,test
20,19,football,train
16,6,football,test
24,14,football,train
13,20,football,train
23,20,football,train
28,24,football,train
20,23,football,train
23,17,football,test
19,27,football,train
17,23,football,train
25,20,football,train
20,38,football,train
13,16,football,train
9,13,football,train
49,24,football,test
31,14,football,train
19,34,football,train
31,24,football,train
32,35,football,train
17,10,football,test
19,38,football,train
35,7,football,train
3,10,football,train
17,23,football,test
34,14,football,test
10,24,football,train
26,0,football,train
19,13,football,train
35,38,football,train
31,17,football,train
14,38,football,train
14,3,football,test
27,34,football,train
17,22,football,test
41,14,football,train
10,26,football,test
23,31,football,train
34,28,football,test
37,10,football,test
19,20,football,test
24,10,football,train
13,10,football,test
21,19,football,train
37,10,football,train
46,16,football,train
34,37,football,train
30,13,football,train
41,14,football,train
15,31,football,train
27,13,football,test
10,23,football,train
14,38,football,test
23,30,football,train
13,20,football,train
20,42,football,train
19,14,football,train
13,28,football,train
27,28,football,train
45,19,football,train
20,17,football,train
23,41,football,train
34,14,football,train
20,3,football,train
19,16,football,train
40,14,football,train
27,0,football,test
23,16,football,train
48,16,football,test
26,33,football,train
27,24,football,train
20,14,football,train
23,17,football,train
13,16,football,train
14,29,football,train
38,10,football,test
17,19,football,train
7,20,football,test
35,21,football,test
45,16,football,train
19,17,football,train
49,21,football,train
27,34,football,train
45,17,football,train
13,17,football,train
45,41,football,test
34,10,football,train
19,13,football,train
22,23,football,train
45,24,football,train
26,38,football,test
3,7,football,train
9,13,football,test
16,24,football,train
23,20,football,test
31,14,football,train
31,10,football,train
45,28,football,train
24,2,football,train
29,23,football,train
36,32,football,train
45,10,football,train
20,13,football,train
20,37,football,train
23,20,football,train
17,20,football,train
59,41,football,train
17,21,football,test
17,24,football,train
41,21,football,train
24,40,football,train
16,17,football,train
32,40,football,test
27,23,football,train
13,34,football,test
26,23,football,train
48,28,football,train
30,10,football,test
20,16,football,train
22,30,football,train
16,10,football,train
31,19,football,train
44,13,football,train
14,22,football,train
23,10,football,test
41,34,football,train
35,13,football,train
7,27,football,train
